sep =|
LocationId|Location|Iso3|Iso2|LocationTypeId|IndicatorId|Indicator|IndicatorDisplayName|SourceId|Source|Revision|VariantId|Variant|VariantShortName|VariantLabel|TimeId|TimeLabel|TimeMid|CategoryId|Category|EstimateTypeId|EstimateType|EstimateMethodId|EstimateMethod|SexId|Sex|AgeId|AgeLabel|AgeStart|AgeEnd|AgeMid|Value
356|India|IND|IN|4|68|Fertility rates by age of mother (1-year)|Fertility rates by age of mother (1-year)|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|132|37|37|37|37|32.330999999999996
356|India|IND|IN|4|68|Fertility rates by age of mother (1-year)|Fertility rates by age of mother (1-year)|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|133|38|38|38|38|26.029
356|India|IND|IN|4|68|Fertility rates by age of mother (1-year)|Fertility rates by age of mother (1-year)|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|134|39|39|39|39|20.94
356|India|IND|IN|4|68|Fertility rates by age of mother (1-year)|Fertility rates by age of mother (1-year)|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|96|40|40|40|40|16.990000000000002
356|India|IND|IN|4|68|Fertility rates by age of mother (1-year)|Fertility rates by age of mother (1-year)|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|136|41|41|41|41|13.575000000000001
356|India|IND|IN|4|68|Fertility rates by age of mother (1-year)|Fertility rates by age of mother (1-year)|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|137|42|42|42|42|10.599
356|India|IND|IN|4|68|Fertility rates by age of mother (1-year)|Fertility rates by age of mother (1-year)|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|138|43|43|43|43|8.248999999999999
356|India|IND|IN|4|68|Fertility rates by age of mother (1-year)|Fertility rates by age of mother (1-year)|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|139|44|44|44|44|6.505999999999999
356|India|IND|IN|4|68|Fertility rates by age of mother (1-year)|Fertility rates by age of mother (1-year)|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|97|45|45|45|45|5.11
356|India|IND|IN|4|68|Fertility rates by age of mother (1-year)|Fertility rates by age of mother (1-year)|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|140|46|46|46|46|4.024
356|India|IND|IN|4|68|Fertility rates by age of mother (1-year)|Fertility rates by age of mother (1-year)|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|141|47|47|47|47|3.352
356|India|IND|IN|4|68|Fertility rates by age of mother (1-year)|Fertility rates by age of mother (1-year)|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|142|48|48|48|48|2.9810000000000003
356|India|IND|IN|4|68|Fertility rates by age of mother (1-year)|Fertility rates by age of mother (1-year)|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|143|49|49|49|49|2.314
